Job Title,Company Name,Location,Skills,Link,Date
Senior GIS Developer,RTR Software Solutions  -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · GIS · Development · Information Technology (IT) · Python · Java · .Net Framework · GIS Analysis · Arc GIS · openlayers,/jobs/p/0TGSH2sk5P4Z-Senior-GIS-Developer-RTR-Software-Solutions-Cairo-Egypt?o=36&l=sp&t=sj&a=python|search-v3|hpb,15 days ago
Python Developer,tawasolmap -,"Dokki, Giza, Egypt ",Full TimeExperienced · 2 - 10 Yrs of Exp · IT/Software Development · Socket Programming · Python · APIs,/jobs/p/UUttfdGdh7u0-Python-Developer-tawasolmap-Giza-Egypt?o=37&l=sp&t=sj&a=python|search-v3|hpb,2 months ago
Regular/Senior C++ Developer,Luxoft (A DXC Technology Company) -,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · C++ · Python · Software Development · Software · Programming,/jobs/p/Ay20zZ2MDsyT-RegularSenior-C-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=38&l=sp&t=sj&a=python|search-v3|hpb,16 days ago
Senior Full Stack Developer,Eden Solutions -,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · software · typescript · Node · Compuer Science · MongoDB · React · AWS · SQL,/jobs/p/1AqXyZVqDSXF-Senior-Full-Stack-Developer-Eden-Solutions-Cairo-Egypt?o=39&l=sp&t=sj&a=python|search-v3|hpb,11 days ago
Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Computer Science · Data · analytical · Information Technology (IT) · Reporting,/jobs/p/DJ5VofdSWmu7-Data-Analyst-Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Cairo-Egypt?o=40&l=sp&t=sj&a=python|search-v3|hpb,16 days ago
"Data Scientist ""Senior/Lead""",Confidential -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 10 Yrs of Exp · R&D/Science · IT/Software Development · Algorithms · Computer Science · Data Science · Information Technology (IT) · Python · Spark · Statistics · Machine Learning,/jobs/p/PmQv2opPhA7S-Data-Scientist-SeniorLead-Cairo-Egypt?o=41&l=sp&t=sj&a=python|search-v3|hpb,24 days ago
Data Science/Machine learning/AI Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt ",Full TimePart TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI),/jobs/p/z1WUTO5z3VPv-Data-ScienceMachine-learningAI-Instructor-EpsilonAI-Cairo-Egypt?o=42&l=sp&t=sj&a=python|search-v3|hpb,25 days ago
Sr. DevOps Engineer,Devexy -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Kubernetes · Docker · Linux · Python · JavaScript · AWS · Azure · Oracle cloud · SQL Server,/jobs/p/k0rlz9Rc4rgh-Sr-DevOps-Engineer-Devexy-Cairo-Egypt?o=43&l=sp&t=sj&a=python|search-v3|hpb,25 days ago
Senior Full Stack Developer,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · AWS · Computer Science · front-end · Information Technology (IT) · Java · JavaScript · Laravel,/jobs/p/hh4PopoV8Ey5-Senior-Full-Stack-Developer-Trufla-Cairo-Egypt?o=44&l=sp&t=sj&a=python|search-v3|hpb,28 days ago
Sr. BI & Reporting Specialist,Masary -,"Mokattam, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Business Development · Engineering - Telecom/Technology · Power BI · OBIEE · MS Office · Banking Sector · Computer Science · Information Technology (IT) · English,/jobs/p/AsscYIsFGKxR-Sr-BI-Reporting-Specialist-Masary-Cairo-Egypt?o=45&l=sp&t=sj&a=python|search-v3|hpb,25 days ago
